"","group","long","lat"
"1","강남구",127.069780528311,37.4884439761902
"2","강동구",127.144465044776,37.5500365785792
"3","강북구",127.021349683286,37.6355895693967
"4","강서구",126.818828737605,37.559436561054
"5","관악구",126.934031155396,37.4744780269521
"6","광진구",127.089424949758,37.5523482161077
"7","구로구",126.861106464128,37.4990237540499
"8","금천구",126.899230395184,37.4646090915193
"9","노원구",127.073195920471,37.6466130380093
"10","도몽구",127.037683508687,37.6615331029353
"11","동대문구",127.054642810522,37.5829995451147
"12","동작구",126.940822308749,37.5019468857721
"13","마포구",126.918391713883,37.5538555888806
"14","서대문구",126.932348334306,37.5780747586007
"15","서초구",127.025110731382,37.47591571811
"16","성동구",127.043638765472,37.5568275353156
"17","성북구",127.024994210247,37.6008042109293
"18","송파구",127.121319633738,37.4998262637643
"19","양천구",126.856435272166,37.5207270071355
"20","영등포구",126.915372033567,37.5208505702057
"21","용산구",126.974213980859,37.5295784098427
"22","은평구",126.920422173617,37.6094993667619
"23","종로구",126.982599718476,37.585005582881
"24","중구",126.988247910421,37.5608288666532
"25","중랑구",127.08755555117,37.5940309450823
