대여소_구,대여소명,폐쇄일자,폐쇄사유
강남구,2386. sk 동우주유소 앞,18.12.27,공사
강동구,1040. 강일동 에너지 마루,19.1.31,공사
강북구, 우이초등학교 앞 사거리공원,'17,민원
강서구,1123. 공암나루근린공원 관리사무소옆,18.09.19,민원
관악구, 관악구 재활용센터,17.10.29,민원
구로구,1963. 디지털단지오거리,18.9.13,공사
구로구,1940. 예성 라온팰리스 앞,18.7.26,민원
구로구, 오류동역 3번출구 앞 ,'17,민원
금천구,가산디지털단지역 5번출구,18.4.13,민원
노원구, 예수사랑교회 옆,17.12.3,민원
도봉구,창동한신,19.6.14,민원
도봉구,1712. 창동역공영주차장앞,19.6.13,공사
동대문구,동대문구 체육관,16.9.7,민원
동대문구,청량리역 3번출구,16.8.4,민원
동작구,2028. 남성역 2번출구 뒷편,19.3.23,공사
마포구,우리금융상암센터 교차로,16.8.20,민원
마포구,창전데이케어센터,16.8.20,민원
마포구,신촌1지점 공용주차장,16.8.20,민원
서대문구,172. 서대문소방서,19.5.10,민원
서대문구,174. 명지대학교 학생회관,19.1.29,공사
서대문구,창서초등학교 뒤,16.8.20,민원
서대문구,서대문역 3번출구,16.8.20,민원
서초구,2224. 방배경찰서 민원봉사실 앞,18.7.21,공사
성동구, 화양사거리,'17,민원
송파구, 석촌역 1번출구 앞,17.12.11,민원
은평구,서부경찰서,16.11.30,민원
은평구,국민은행 응암점,16.11.30,민원
종로구,창덕궁 매표소 앞,16.8.10,민원
종로구,KEB 하나은행(내자동 지점) 앞,16.6.15,민원
중구,377. 서울역 4번출구 앞,19.3.15,전기 공급 불가
중구,서울 중앙우체국 앞,16.8.20,민원
중구, 서울역 서부교차로1,'17,민원
